D'après O
les O
postes O
précédents, O
c'était O
un O
bon O
endroit, B-TARGET
mais O
pas O
plus. O

Nous, O
quatre O
d'entre O
nous, O
sommes O
arrivés O
à O
midi O
- O
le O
lieu O
était O
vide O
- O
et O
le O
personnel B-TARGET
a O
agi O
comme O
si O
nous O
les O
avions O
imposés O
et O
ils O
étaient O
très O
rudes. O

Ils O
n'ont O
jamais O
apporté O
de O
noodles O
gratuits, O
ils O
ont O
ignoré O
les O
demandes O
répétées O
de O
sucre O
et O
ils O
ont O
jeté O
nos O
plats O
sur O
la O
table. O

La O
nourriture B-TARGET
était O
médiocre O
- O
trop O
douce O
ou O
trop O
salée O
et O
les O
portions B-TARGET
minces. O

Après O
tout O
cela, O
ils O
m'ont O
plaidé O
pour O
le O
petit O
coup. O

Évitez O
ce O
lieu! B-TARGET

J'ai O
mangé O
à O
Saul, O
de O
nombreuses O
fois, O
la O
nourriture B-TARGET
est O
toujours O
uniformement, O
scandaleusement O
bon. O

Saul B-TARGET
est O
le O
meilleur O
restaurant O
de O
Smith O
Street O
et O
de O
Brooklyn. O

Le O
confit B-TARGET
de I-TARGET
poulet I-TARGET
est O
toujours O
remarquable O
et O
le O
terrine O
de O
foie B-TARGET
gras I-TARGET
avec I-TARGET
les O
figues O
est O
sorti O
de O
ce O
monde. O

La O
liste B-TARGET
de I-TARGET
vins I-TARGET
est O
intéressante O
et O
a O
de O
nombreux O
bons O
valeurs. O

Pour O
le O
prix, O
vous O
ne O
pouvez O
pas O
manger O
aussi O
bien O
à O
Manhattan. O

Je O
suis O
très O
déçu O
de O
ce O
restaurant. B-TARGET

J'ai O
demandé O
à O
une O
gardienne B-TARGET
de O
la O
voiture O
un O
riz O
emballé O
de O
feuilles O
de O
lotus O
et O
elle O
lui O
a O
répondu O
que O
c'était O
un O
riz O
et O
a O
tout O
simplement O
quitté. O

J'ai O
dû O
le O
demander O
trois O
fois O
avant O
qu'elle O
ne O
revienne O
enfin O
avec O
le O
plat O
que O
j'ai O
demandé. O

La O
nourriture B-TARGET
était O
bonne, O
rien O
de O
grand. O

Chow B-TARGET
fun I-TARGET
était O
sec; O
le O
porc B-TARGET
shu I-TARGET
mai I-TARGET
était O
plus O
que O
habituellement O
gras O
et O
devait O
partager O
une O
table O
avec O
une O
famille O
forte O
et O
rude. O

Je/nous O
ne O
retournerons O
jamais O
plus O
à O
ce O
lieu. B-TARGET

Nous O
sommes O
allés O
sur O
un O
3 O
jours O
de O
bière O
d'oies, O
avec O
Fish B-TARGET
soulevant O
la O
fermeture, O
et O
je O
suis O
si O
heureux O
que O
c'était O
le O
lieu O
où O
il O
O O
voyage O
s'est O
terminé, O
parce O
qu'il O
était O
si O
grand! O

Le O
service B-TARGET
était O
devine, O
les O
oysters B-TARGET
où O
un O
sensual O
comme O
ils O
arrivent, O
et O
le O
prix O
ne O
peut O
pas O
être O
battu!!! O

Vous O
ne O
pouvez O
pas O
faire O
tort O
ici. O

Chaque O
fois O
à O
New O
York O
je O
fais O
un O
point O
de O
visiter O
le O
restaurant B-TARGET
Saul I-TARGET
sur O
la O
rue O
Smith. O

Tout O
est O
toujours O
cuit O
à O
la O
perfection, O
le O
service B-TARGET
est O
excellent, O
le O
décor B-TARGET
frais O
et O
sous-estimé. O

Lors O
de O
ma O
dernière O
visite, O
j'ai O
eu O
la O
spécialité B-TARGET
du I-TARGET
sein I-TARGET
de O
poulet O
et O
c'était O
incroyable. O

Je O
ne O
peux O
attendre O
que O
ma O
prochaine O
visite. O

J'avais O
mes O
yeux O
sur O
ce O
lieu, O
promettant O
à O
moi-même O
que O
