Long O
waiting B-TARGET
period. I-TARGET

Same O
dessert, B-TARGET
two O
days O
after O
each O
other. O

Breakfast B-TARGET
buffet I-TARGET
was O
tip O
top O
okay. O

Not O
cheap! O

We'd O
been O
told O
we O
had O
to O
be O
here O
for O
Wagye O
beef. O

Our O
GPS O
wasn't O
the O
best O
travel O
leader O
to O
get O
to O
Altembrouck O
Castle. O

But O
once O
it O
arrived O
at O
the O
castle B-TARGET
restaurant I-TARGET
it O
became O
a O
party. O

First O
of O
all O
the O
operation, B-TARGET
exceptionally O
friendly O
thoughtful O
not O
forced O
but O
real. O

Rarely O
experienced, O
among O
the O
staff B-TARGET
there O
was O
a O
wonderful O
teasing O
chemistry. O

You O
have O
the O
choice O
between O
a O
limited O
number O
of O
menus. B-TARGET

Specialization O
is O
the O
Wagye O
cattle. O

If O
you O
ask O
about O
this O
delicious O
beef B-TARGET
the O
meat O
is O
introduced O
to O
you O
in O
advance O
on O
a O
plate. O

It's O
not O
cheap, O
but O
it's O
exceptionally O
good. O

If O
you O
are O
not O
a O
steak O
lover O
there O
is O
a O
fish O
alternative, B-TARGET
duck B-TARGET
and O
lamb B-TARGET
at O
acceptable O
prices. O

The O
wine B-TARGET
list I-TARGET
is O
a O
good O
selection O
of O
tasty O
quality O
wines. B-TARGET

It's O
been O
a O
long O
time O
since O
we've O
eaten O
so O
well. O

On O
the O
border O
between O
the O
Netherlands O
and O
Belgium O
we O
have O
eaten O
exceptionally O
well O
in O
an O
atmospheric O
environment B-TARGET
with O
a O
live O
band O
that O
found O
the O
right O
tone O
and O
gave O
us O
a O
delicious O
afternoon. O

This O
is O
the O
third O
time O
we've O
eaten O
here. O

It's O
a O
fantastic O
opportunity. B-TARGET

In O
good O
weather O
outside O
in O
the O
courtyard O
or O
at O
the O
pond O
something O
to O
eat O
or O
drink. O

On O
the O
Altembrouck O
estate O
they O
work O
with O
fresh O
honest O
products. B-TARGET

They O
have O
majalica O
(curly O
hair) O
pigs O
and O
wagyu O
cattle. O

There O
is O
no O
menu. B-TARGET

On O
Sunday O
there O
is O
a O
3 B-TARGET
course I-TARGET
menu I-TARGET
for O
27.50 O
which O
is O
real O
price O
quality. O

Disadvantage O
is O
that O
there O
is O
no O
menu B-TARGET
even O
daily. O

If O
the O
host O
has O
mentioned O
what O
there O
is O
to O
eat, O
you O
will O
be O
lost O
before O
he O
or O
she O
at O
dessert O
what O
the O
main O
course O
is. O

The O
staff B-TARGET
is O
very O
friendly O
and O
correct O
without O
being O
stiff. O

Too O
bad O
only O
from O
the O
last O
time O
both O
pigs O
and O
beef O
were O
mentioned O
as O
main O
course O
and O
our O
whole O
table O
found O
it O
strange O
that O
we O
were O
not O
asked O
what O
we O
preferred. O

Questioning O
learned O
that O
the O
cattle O
was O
unfortunately O
already O
sold O
out. O

Furthermore, O
and O
very O
flexible O
3 O
pers O
wanted O
to O
(with O
additional O
payment) O
go O
for O
the O
appetizer O
of O
the O
Easter O
menu. O

That O
all O
went. O

Still, O
it O
would O
be O
highly O
recommended O
to O
at O
least O
put O
something O
like O
an O
Easter O
menu O
on O
the O
website. O

Now O
you O
have O
to O
call O
or O
email O
after O
it, O
that's O
not O
very O
commercial. O

There's O
nothing O
left O
for O
praise. O

So O
wonderfully O
imaginatively O
served O
food B-TARGET
in O
a O
fine O
ambiance. B-TARGET

I O
can O
only O
recommend O
this. O

You O
come O
here O
for O
a O
glass O
of O
wine O
or O
a O
salad... O
fine, O
too. O

Just O
do O
it O
one O
time O
and O
be O
surprised. O

Too O
bad, O
such O
a O
